SYMBOL,K,K_used,Z,P,Dir,FDR
TAMM41,5,3,-3.289062991778974,0.0010052152357596957,down,0.0022124883750426175
NNAT,5,4,-3.2889650847985124,0.0010055649705436754,down,0.002213034718637459
ANO4,5,4,-3.288875193360534,0.0010058861720868835,down,0.002213518162679534
MBD4,5,4,-3.2886570513295887,0.0010066660356698833,down,0.002215010723015657
GANC,5,3,3.288587904633285,0.0010069133537564836,up,0.0022153313175138863
HIC2,5,4,3.2883425457006967,0.0010077913869087729,up,0.002217039356811116
EMP2,5,5,3.2882006872180076,0.0010082993601556905,up,0.002217933039123621
TMEM60,4,4,-3.2878193396989275,0.0010096660817367079,down,0.002220715319606736
RTN4RL1,5,3,-3.287713607700947,0.0010100453210008453,down,0.0022213253347260595
ZNF813,5,3,3.2876122174566103,0.0010104091111157744,up,0.0022219012539272743
IGFL4,5,4,-3.2870507039503725,0.0010124260289825673,down,0.0022260698568477982
MINDY3,3,3,-3.2870276269613985,0.0010125089996102365,down,0.0022260698568477982
XYLB,5,3,-3.286829692994634,0.0010132209066981044,down,0.0022274104050544895
RBM47,5,4,3.28657810744944,0.0010141264506002001,up,0.002229176320783925
OPRL1,5,3,-3.28612266461751,0.0010157676535924572,down,0.002232558787777917
PTGIR,3,3,-3.286015419627264,0.0010161544718260127,down,0.002233183834705535
LASP1,5,4,3.2859321478501187,0.0010164549159392521,up,0.002233618951959645
SPECC1,5,4,3.285822653368572,0.0010168500965633048,up,0.002234262140211309
RP11-795F19.5,1,1,-3.285748507701625,0.0010171177792083375,down,0.0022344550641480968
MYO1G,4,3,-3.28574155428807,0.0010171428859504477,down,0.0022344550641480968
GOLGA4,5,3,3.285389362153068,0.001018415299300177,up,0.002237024880608883
SQOR,3,3,3.285281751747344,0.001018804372079972,up,0.002237654051553039
APOLD1,5,3,-3.285161795166358,0.0010192382454572034,down,0.0022383814837526436
ZNF155,5,5,-3.2847157867858185,0.0010208529226249613,down,0.002241701708918894
PRDX5,5,4,-3.2826770691014855,0.0010282638495988526,down,0.002257748029520051
RER1,5,4,3.281970745374138,0.0010308429931946772,up,0.002263183091101426
ADGRA1,5,4,-3.281906159419979,0.0010310791275356874,down,0.002263473573598381
ZFR,5,3,3.28161780488773,0.0010321339986208056,up,0.002265561146187292
KCNS1,5,3,-3.2811664422769664,0.0010337871983293657,down,0.0022689615132164
FKBP5,5,3,-3.2810560495622156,0.0010341919050140345,down,0.0022696212725197267
CNTD1,3,2,3.2802287279073146,0.0010372295885968897,up,0.0022760586070458776
PAK6,5,3,-3.2797628339018683,0.0010389438472696143,down,0.002279590862955401
GPX7,4,2,3.2796649538251095,0.0010393043304647554,up,0.002280152330528543
FAM220CP,1,1,3.2781730005102396,0.00104481340259911,up,0.0022920081495334268
AFAP1L1,5,5,3.278026141719286,0.0010453571403501718,up,0.0022929702200195287
LIMD1-AS1,1,1,3.277297430910539,0.001048059032780667,up,0.002298665490306974
USP32P2,4,3,-3.276525767907605,0.001050927225175668,down,0.002304724317076223
LOC105376095,2,1,3.2761115350093895,0.0010524698804498854,up,0.002307875262893578
POGLUT3,3,3,3.2760154839516975,0.0010528278857431857,up,0.002308428113958281
