"","LOAD1","LOAD2","LOAD3","LOAD4","CTRL1","CTRL2","CTRL3","CTRL4"
"CLASP1",7.7864655982265,7.71583859829883,8.0723187051568,7.70352639303128,7.66495435164384,8.03274213864745,7.88852341895301,7.83604018282253
"RNU4ATAC",7.36425180517917,7.03224723537686,7.47290166855403,6.75793144516032,6.3497395866175,6.47366105837027,7.36610979721394,7.42937277146114
"NIFK-AS1",2.86944610261353,2.76725278757849,2.61056564550812,2.5312731930092,2.88329881763585,2.56320184158271,2.88623323105254,2.96616183681486
"NIFK",3.80975959209932,3.60293140847987,3.52815207110872,3.18345703284582,3.75130258888262,3.73130672301978,3.76189246179177,3.67736187692789
"TSN",5.2887545953856,5.01434470353045,4.88317710023484,5.05028920355565,5.16544170858803,5.13829983021708,5.32480706464989,5.08108283451663
"LOC105373592",1.64524964698511,2.18103459495471,1.51464646948121,1.78485366682594,0.221127983761879,1.81734347628046,2.31170569121474,1.65417561243067
"CNTNAP5",6.4402930579775,6.77958943699827,6.4771035776195,6.80342798537186,7.33397298492638,6.07591069584323,6.57555361588248,6.70933957664043
"LOC105373604",1.93022608325246,1.71009907700007,1.15666810767679,1.8376442063829,1.4695872363937,1.58524645658597,1.71696140588172,1.73283630729189
"BIN1",7.40700394372415,7.31557623633952,6.81109948797026,7.02031339191696,7.49592649570855,6.90554899562799,6.99403746758124,7.32618244893247
"ERCC3",5.20156303424186,5.21996383152686,5.05222650816983,5.1375681736885,5.14145789505312,4.78538917030824,5.0558680604244,5.15929871141783
"MAP3K2",5.76700191986402,5.83251648686128,5.90791377290398,5.86442179374069,6.26318645432794,6.19222719948822,5.63597274434429,5.52247862613
"MAP3K2-DT",1.45729510558464,1.34444215846094,0.866434557858911,1.91560979474672,0.970669763574921,1.69303307898827,0.409676752689982,1.01532375859906
"LOC105373608",1.42655362395048,2.03307148776384,2.79332947331884,1.8376442063829,1.80786977762954,1.88709309031261,1.28811732445644,1.38114239050007
"IWS1",5.91303687073085,6.11239518759657,6.11222970484953,5.94755599304912,6.56028455228729,6.20518097750173,6.09462562091932,5.95013036375575
"LIMS2",1.93896552029526,1.24801009670601,1.4115941852397,1.71474509716379,1.46145300497098,2.33265137149965,1.23153367434892,2.41460907950666
"GPR17",1.93022608325246,1.56984301520736,1.27147749712186,1.55195363338549,1.85209640752924,2.24681656003817,0.867784496078952,1.67883886482979
"WDR33",6.26198007455379,6.11922631442232,6.47090967683335,6.38754320547268,6.34532586763147,6.48682587994023,6.1846689171882,6.11819019914707
"POLR2D",4.57682739378607,4.45952558132806,4.43096979619948,4.37409144648837,4.63419276983117,4.66480295998785,4.63519381194982,4.37745518445739
"AMMECR1L",4.23306436291518,4.15857499393761,4.53422855891613,4.20539942359258,3.33229027828119,4.27010177709413,4.03180768399709,4.03942575964386
"SAP130",4.0525700984366,3.5817829473414,3.62057914996388,3.5426658483518,3.70209737960798,4.09120936450986,3.90056310744206,3.97616025961383
"UGGT1",6.52635036001531,6.70959030622081,6.87906835038414,6.46927703296116,6.98310490221699,6.98656203986415,6.79817799290325,6.6577377787844
"HS6ST1",5.51052675628962,5.67774184070038,6.33120370432653,5.88765156509776,5.50666159581166,5.85439550298603,5.60607940807082,5.78316989169242
"RAB6C",2.94514192136493,2.66179070992055,2.52982843113567,2.9483860033013,3.46026101007311,3.1470725458779,2.77750412472609,2.86769718687772
"FAR2P1",1.15374023833467,1.23258517296854,0.978843894087728,0.254084104095473,2.0549243694641,0.766361355526493,1.07494294851099,0.524031039596758
"CCDC74B",1.57410139738768,1.91241409947526,1.08312428310901,1.52879115990752,1.13311016603502,1.19086262330056,1.18971340555812,1.72101032094364
"SMPD4",4.78382333670652,4.99333334487167,5.17086722242354,4.87196191944419,3.88655065242597,4.63132026568109,4.81099259924935,5.15271102288798
"MZT2B",3.68803093734736,3.3778026558315,2.78819613932187,2.94620224823977,2.41224523441037,2.2643969350656,3.3175433828019,3.81444967150757
"CCDC115",4.17875864219685,3.53224678418027,3.73837718974732,4.30334260282154,3.7924142855379,3.40393818558384,4.19501055778725,3.96366919249326
"IMP4",4.71870475542011,4.58781006513458,4.70261203647092,4.52730033398517,4.46752755074581,4.67579337191317,4.89926655144132,4.92037927160844
"PTPN18",4.50801761937216,4.45288509295916,4.1510541014928,4.93057605867399,4.04735719702795,4.48653706272997,4.56332362233281,4.61003738757939
"FAR2P2",3.61901206491308,3.08754096406973,3.44252488736718,3.17788425644092,3.59463259606085,3.96965698141457,3.12905303244175,3.21409384586747
"AMER3",4.55922181205411,4.51397146270038,4.79954933527993,4.97463291855987,4.30770318460949,4.57019910688936,4.47555368518887,4.9605365997783
"ARHGEF4",7.93712768956196,8.07719360754932,8.09126420841646,7.93436524809154,7.6763104274644,7.92137046847279,8.23192319931944,8.18293540133907
"FAM168B",6.41153984251286,6.15059859095565,6.45803752527589,6.34528598110893,6.61882722679937,6.62450833775806,6.47989809779896,6.18750584394286
"PLEKHB2",7.23925684832626,6.8395238450346,6.70222515201708,6.88335664063989,7.2218202739406,7.14245055760723,7.3995139894343,7.0954716987601
"RAB6D",3.28038712026565,3.30039034329276,3.15812430817218,3.43465495677228,3.94021847031997,3.41184784072685,3.39687386592999,3.38308376914416
"MZT2A",3.60535212750619,3.22054356463586,2.91606292157387,3.03724101277559,2.43319299873123,2.32149752766442,3.5485094173293,3.76058975892576
"TUBA3D",0.452166580915569,0.903003217420361,1.4115941852397,0.800163901558602,-0.0309195560224631,1.10239692671478,1.23153367434892,1.18848510963803
"SMPD4BP",3.73394970885504,4.31230514738829,4.52885278257677,4.30589959283247,1.88287685223843,3.38531191461383,3.94523217194905,4.13498902599644
"CCDC74A",2.84872591803326,2.44134625666782,2.07433904297532,2.7498524807104,1.30660243485654,1.69303307898827,2.25199938183334,2.92294044233355
"C2orf27A",2.86715850087792,2.653126924729,2.69527348002465,3.14589200855911,3.28698015044252,3.59668521527519,3.17049385846731,2.7210440663326
"ANKRD30BL",3.50445886697245,3.95393776803343,1.7280513142455,3.39837465767475,3.29615673435448,1.98223833702418,2.65376865922966,4.03106912868364
"GPR39",2.46288559691041,3.31694021090942,2.17216161617123,0.780687317759263,2.47014914844283,3.35554735774956,4.12017530325941,4.31195394359733
"LYPD1",3.29237171909629,4.13491634011953,2.98049100504636,1.87944433793445,3.22586590105219,4.26719806795312,4.82540251756887,5.00936261891324
"LOC105373623",1.84444927672666,2.52919146782177,1.91391877449244,1.41969602154543,2.00542955921574,2.13658286468124,2.14664626347934,2.22667032289398
