SYMBOL,logFC,SE,P.Value,acc,region,study_id
AP5B1,0.612208535231779,0.18926173624793116,0.00305165280219264,GSE278723_CA1,hippocampus_CA1,GSE278723
AP5M1,-0.683547795567796,0.18895493322961693,0.00112556615927768,GSE278723_CA1,hippocampus_CA1,GSE278723
AP5Z1,0.686863713949233,0.16141744473725,2.0150007977556e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
APC2,0.903546520741833,0.19770869862068863,8.47730780974768e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
APCDD1,0.858951518329078,0.30323353559721083,0.00833942452965302,GSE278723_CA1,hippocampus_CA1,GSE278723
APEH,0.58563943756375,0.08505615051630529,1.5042134210083e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
APEX2,0.781327092325209,0.17931710329407297,1.5232749605563e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
APH1A,0.805160611646196,0.1781466215718191,9.74272504522034e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
APH1B,-0.75701449966071,0.2796282819408208,0.0112872834322007,GSE278723_CA1,hippocampus_CA1,GSE278723
API5,-0.593245358871125,0.21671456418941812,0.0104985816470303,GSE278723_CA1,hippocampus_CA1,GSE278723
APLF,-1.21773843628529,0.19107615442234685,5.93160697181017e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
APLN,0.86904109795477,0.26629420174626584,0.00283491479310677,GSE278723_CA1,hippocampus_CA1,GSE278723
APLNR,1.24937392381864,0.33054038960562604,7.3072513329181e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
APOA1BP,0.770386600381062,0.13232517140311742,2.6638404271156e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
APOBR,0.878160898899519,0.32807500460672656,0.0121390458184855,GSE278723_CA1,hippocampus_CA1,GSE278723
APOE,1.32535794052545,0.1838405560827794,6.40794176270473e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
APOLD1,-0.854374686163102,0.39263495786959557,0.0379029380613235,GSE278723_CA1,hippocampus_CA1,GSE278723
APPL1,-0.883922096808518,0.1478167399432135,1.72810385668249e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
APRT,0.704657285498861,0.14613356888124723,4.22437621359307e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
AQP1,1.63559492112471,0.27299142085846106,1.6744841224403e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ARAF,1.05992311488475,0.1570203260679722,2.15443971141376e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
ARF1,0.859245902364253,0.2548993203057186,0.00214837552738659,GSE278723_CA1,hippocampus_CA1,GSE278723
ARF6,-0.63030595162426,0.13861969642762162,9.03455463795653e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGAP1,0.653642767579378,0.13806436472297456,5.38452967205631e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGAP21,-0.768744656161415,0.1929304979946478,4.2104133178771e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGAP23,0.789308672787505,0.20427759787805455,5.8309704101018e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGAP28,-0.699551832374314,0.1859295787354275,7.6540940000849e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGAP29,-1.13263380487964,0.25099722026709465,9.93573832916949e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGAP33,0.897581661849886,0.1730694888202462,1.53991399825886e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGAP39,0.856565934068533,0.1627046792395974,1.23973346748705e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGAP42,-0.587206039027692,0.1931458904804856,0.00499369651161082,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGAP5,-0.963782570463741,0.415197063163152,0.0275542859125532,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGDIA,0.812368842084694,0.12773773424298923,6.15028459884496e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGDIG,0.631947560719705,0.2204975209983498,0.00768697293693205,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGEF10L,0.800869113915944,0.14396819989014256,5.43536217168368e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGEF16,0.758517419448409,0.3158097630496661,0.0229914195912488,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGEF17,0.628816352188986,0.2066505746109779,0.00496033981313146,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGEF4,0.777341634764047,0.16500400794977454,5.74277731102889e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGEF40,0.634950481607738,0.14292229379621732,1.2045544011186e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ARHGEF5,0.587473687037988,0.2294432901228424,0.015964631933275,GSE278723_CA1,hippocampus_CA1,GSE278723
ARID4B,-0.67918547764882,0.1648055929593146,2.9058342357778e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ARL1,-0.621567220514213,0.20996917881701518,0.00609415697297287,GSE278723_CA1,hippocampus_CA1,GSE278723
ARL14EP,-0.749112461826374,0.14919262049512488,2.43342677927614e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ARL15,-1.06363263056735,0.2601365661786264,3.1735888519627e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ARL17A,-0.955310601073537,0.2808219261414569,0.00198260737188607,GSE278723_CA1,hippocampus_CA1,GSE278723
ARL2,0.791612207852892,0.15346174564635584,1.66357092210562e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ARL4A,-0.883751248007017,0.3139875353305072,0.00871341376934585,GSE278723_CA1,hippocampus_CA1,GSE278723
