Specification,Gene,Datasets contributing (k),Pooled log2FC,SE,95% CI,Z,Pooled P (raw),Pooled P (FDR),Direction,Direction matches primary,I2 (%),Max raw LOO P
Sensitivity analysis 3b,PIK3R5,4,0.7938203577405716,0.10248268291634911,"[0.593, 0.995]",7.745897503371595,9.490904819139948e-15,1.4060097567783037e-13,up,TRUE,0,4.97699233103111e-9
Sensitivity analysis 3b,RAB3C,4,-0.8390488909236082,0.10953970938124603,"[-1.054, -0.624]",-7.659769189302407,1.8626753673561414e-14,2.4450561467700243e-13,down,TRUE,0,2.8424567207877787e-9
Sensitivity analysis 3b,GFAP,4,0.8272491440489974,0.11070366927640612,"[0.610, 1.044]",7.472644307602061,7.859909680856646e-14,9.006327446462257e-13,up,TRUE,0,2.0689168729755913e-8
Sensitivity analysis 3b,NUPR1,4,0.6884396808122335,0.0926517668596153,"[0.507, 0.870]",7.430399917309164,1.0826983062874383e-13,1.1881038556826173e-12,up,TRUE,0,3.249680264469975e-6
Sensitivity analysis 3b,HPRT1,4,-0.7788385932641633,0.10569949944501544,"[-0.986, -0.572]",-7.368422720576011,1.7265857061595694e-13,1.7904693772874737e-12,down,TRUE,0,3.456255697803546e-8
Sensitivity analysis 3b,ADAM33,4,0.8419531791290962,0.11436851660756672,"[0.618, 1.066]",7.361756575177891,1.8150573834891757e-13,1.8635787194834405e-12,up,TRUE,0,2.5343786485675133e-8
Sensitivity analysis 3b,COL25A1,4,-0.8530639470218865,0.11672679410724668,"[-1.082, -0.624]",-7.308210197549889,2.707240703273485e-13,2.623746363826733e-12,down,TRUE,0,2.9843910375612844e-6
Sensitivity analysis 3b,HSPB7,3,0.8787884982191716,0.12284037545513884,"[0.638, 1.120]",7.153905993555873,8.434283688521239e-13,7.412162868641122e-12,up,TRUE,0,1.0778377225357809e-6
Sensitivity analysis 3b,SCG2,4,-0.7751175441723156,0.11041359766778253,"[-0.992, -0.559]",-7.02012759791167,2.2166571708737137e-12,1.7682103739969548e-11,down,TRUE,0,6.4233515203708944e-09
Sensitivity analysis 3b,STAT4,3,-1.0518699015540829,0.15470571491501847,"[-1.355, -0.749]",-6.799166418201722,1.0522621038565909e-11,6.836865011694244e-11,down,TRUE,0,7.236932633408088e-5
Sensitivity analysis 3b,RGS4,4,-1.192690383497791,0.17619727708445132,"[-1.538, -0.847]",-6.769062514661534,1.2961953095210171e-11,8.171152194366535e-11,down,TRUE,0,2.3186381939012906e-5
Sensitivity analysis 3b,PRX,4,0.7713616917615478,0.1143024907540412,"[0.547, 0.995]",6.74842417407493,1.4945947234042476e-11,9.336715229940992e-11,up,TRUE,0,6.294670858474073e-7
Sensitivity analysis 3b,RPH3A,4,-1.037486211588476,0.1553217086704486,"[-1.342, -0.733]",-6.679595662894401,2.3960239465783903e-11,1.3998179338601638e-10,down,TRUE,22.5949279434785,2.7547759571513264e-5
Sensitivity analysis 3b,OPN3,4,-0.6883535460743788,0.10381511390758329,"[-0.892, -0.485]",-6.630571601425536,3.3438941879262895e-11,1.88457514830411e-10,down,TRUE,0,2.1656681188247293e-5
Sensitivity analysis 3b,SERPINI1,4,-0.7576301223018119,0.11449733488726212,"[-0.982, -0.533]",-6.617010981502754,3.6653427757013536e-11,2.0399543840233058e-10,down,TRUE,0,2.6528773802515955e-8
