"","01.CA1","02.CA1","04.CA1","05.CA1","06.CA1","07.CA1","08.CA1","09.CA1","10.CA1","11.CA1","12.CA1","13.CA1","15.CA1","16.CA1","17.CA1","18.CA1","19.CA1","20.CA1","21.CA1","22.CA1","23.CA1","24.CA1","25.CA1","26.CA1","27.CA1","28.CA1"
"ADCY5",6.66956750404084,7.197394839289,6.8361201559912,7.0540339891583,6.30913696386395,6.76124203197354,7.24136570942836,7.24728915679519,6.93742832040967,6.68382040493316,6.42088960401073,7.36605585501546,7.60891120393481,8.01128271541578,6.92547080644922,7.2957635162112,7.74650591528302,7.37561227884576,7.3250790759029,8.1530899896229,7.84475379479758,7.16338029845029,6.89430922525986,7.06042283359065,7.35567810797464,7.16480674583561
"PARP14",6.31219527479437,6.02260764918475,5.91817349352997,6.43296317015848,5.73059412599613,6.19475027174232,4.91093505723954,5.76183213848,6.17796217617346,6.10922354497428,5.3063206057439,6.18956297718813,5.67414437362148,5.63761750193405,5.87391376775872,4.21389923671206,5.84021674283012,5.9408390101204,5.82891684383486,6.06983889976768,6.03851925362723,5.37563623909897,6.0964109975719,5.5913683764071,5.268814974052,4.80586466665002
"ABCD2",3.90704682506414,3.07365423227974,3.31415994859265,3.86395678879693,3.826447314868,3.93559402179846,4.20494285985934,2.9658288343801,3.3052143850649,3.94549358175963,4.59865082700446,3.82735890359204,3.40803267869699,3.35097554652818,3.54889051825607,3.16003970116164,3.96695465470736,2.85795328409382,2.86503466304985,3.61840983697306,3.22323931435375,1.76214277217683,3.53204343650982,3.68866725853377,3.66902962926313,2.82021690697144
"ABLIM3",4.75008259985355,4.31001964436529,5.01277341335195,6.73229977539719,4.94695670466763,4.34455695434202,4.78245316963941,5.30748314896084,4.36389461167955,5.44729288774393,4.50652464014194,5.6875055235378,5.82472401005542,6.04180659261719,5.67281946081368,5.32638284115204,6.5157271874805,5.32751973146545,6.31154845817499,5.96768886053856,6.73401976961276,5.04037806084922,5.19606497648343,5.45559218515315,5.25985685161166,6.81737785321501
"KIAA1919",4.34160064281945,3.73653782562609,4.24475849721229,3.83373373563954,4.32452207841621,4.40060708710587,4.99064329123175,3.29119749919501,4.45247679797366,4.04751776318065,5.0654938299607,3.96420225493018,3.81474603312847,3.44177821551193,3.62083563529539,4.36884916077333,2.71625058839237,3.22431056205697,2.43391969796952,2.9232054290098,2.80171227281443,3.82096018058402,4.32482855204019,4.15277602620706,4.03205475704305,3.75123715795034
"VANGL1",1.85847595618703,1.81092917817585,1.51184172841613,3.56602905430089,1.75602817739246,1.60556173118816,1.84642122763972,1.24935901111226,0.89195451224262,2.85233031792573,2.32443847141466,1.2956456097583,2.67362231387554,2.29298257643749,1.6840401680564,1.51187335612848,2.78946680939362,0.848435031781142,1.27730646148904,2.18867962290554,2.17247068603311,2.1295766391031,1.17046603014379,1.47040577794242,2.7169296314005,2.62010378615026
"GLRX",4.00079502970765,3.21386707893973,4.09092636472966,2.20137386672099,5.91063306617638,2.82116437993121,3.92960538730652,4.14529078796897,4.11810610280871,3.04554075369029,3.57114528637036,3.88883074783854,2.6930328168961,3.00458903439083,3.59427487935477,3.52274275158369,1.87328067970644,1.94262315219563,1.36775591701322,2.51268988182413,2.90026221586395,2.86523008716406,4.45238094021995,3.24239812655351,3.24765643616109,3.30337934217082
"IQCB1",3.14403983666032,3.17517723997922,3.55678211881714,2.74676710068704,3.80034906666386,3.51890925378638,3.27561388065477,2.54503875518371,3.38319529299271,3.4325278582946,3.41295797577684,2.93792925570221,2.27043432573097,2.29298257643749,2.5713524614041,2.86499905469403,2.71625058839237,3.50294745565826,3.04027924962926,2.43128965370229,1.85624689734328,3.48298064877996,3.50113635820272,2.805098820363,2.63615868467773,2.40559460770018
"SYT12",4.84533327511357,3.45903345767468,4.13094929250179,3.67232255322498,2.6989201869607,4.10606769511661,4.65980486276384,4.65945948426165,4.80036038911673,4.36326106609659,4.82193523735575,5.15925071967774,5.23847030840558,5.44409187533719,5.00228657645438,5.797105479492,5.09220335907508,6.56450734367737,4.62605718866817,5.18126398926106,5.33608280709981,4.81940551283847,4.16312255227993,5.76553733377997,5.59867046156122,5.52779818518359
"GOLGB1",7.63162192928475,7.41329414370201,7.70521692158907,8.92316250263224,7.37630789884951,7.80217338795265,7.13136615524279,7.84861515876313,7.71939090046964,7.46023966481318,7.38267283025615,7.73405234233346,6.5481399155091,6.90173060427836,6.66597540947011,7.48918885557053,7.73901687095921,7.95245496383613,8.03328256416062,7.91622877171745,7.69767315667691,7.91091170129831,6.45960356581178,6.75785786383013,6.6292537346596,6.92524238961546
