SYMBOL,logFC,SE,P.Value,acc,region
AHCY,0.44819301059518,0.11208967734459635,4.0542900076796e-4,GSE278723_CA1,hippocampus_CA1
AHDC1,0.806412094585066,0.1693815656517375,5.00265440213904e-5,GSE278723_CA1,hippocampus_CA1
AHI1,-0.645352308080075,0.22930020462399006,0.00871687245912131,GSE278723_CA1,hippocampus_CA1
AHRR,0.710546688573881,0.3453924924143225,0.0488197157268241,GSE278723_CA1,hippocampus_CA1
AIFM3,1.06385725128952,0.2635635521438764,3.6582450585308e-4,GSE278723_CA1,hippocampus_CA1
AIG1,-0.57232806478269,0.14836347121664645,5.9305174502062e-4,GSE278723_CA1,hippocampus_CA1
AIP,0.825735974582848,0.12609807457815855,3.69820330167867e-7,GSE278723_CA1,hippocampus_CA1
AK1,0.861471309496334,0.17097712688874847,2.31882181357012e-5,GSE278723_CA1,hippocampus_CA1
AK6,-0.544113713266945,0.21552370081385538,0.0173513659682105,GSE278723_CA1,hippocampus_CA1
AK8,1.0153167879655,0.33359434560161677,0.0049520175530658,GSE278723_CA1,hippocampus_CA1
AK9,-0.773006284905868,0.15854834698177592,3.64249008483613e-5,GSE278723_CA1,hippocampus_CA1
AKAP10,-0.51840676831928,0.09107084055414602,3.80367105991383e-6,GSE278723_CA1,hippocampus_CA1
AKAP11,-0.677607574070174,0.1501619687271426,9.93639560090977e-5,GSE278723_CA1,hippocampus_CA1
AKAP17A,0.675883310656993,0.2060554112352819,0.00271626442850109,GSE278723_CA1,hippocampus_CA1
AKAP6,-0.318237050657954,0.1191079940838894,0.0122804752262474,GSE278723_CA1,hippocampus_CA1
AKAP7,-0.805988959608636,0.14042511325913373,3.33962451831676e-6,GSE278723_CA1,hippocampus_CA1
AKAP8L,0.446119059674631,0.18227746525417837,0.0207228015818016,GSE278723_CA1,hippocampus_CA1
AKAP9,-0.50006688832025,0.24138893005639234,0.0473617239025994,GSE278723_CA1,hippocampus_CA1
AKIRIN1,-0.382128973142516,0.1524308476774975,0.018077395099833,GSE278723_CA1,hippocampus_CA1
AKIRIN2,0.562849797598115,0.1771127748021025,0.00352760201532593,GSE278723_CA1,hippocampus_CA1
AKR1A1,0.54547362120868,0.16087894780796047,0.00204146749506487,GSE278723_CA1,hippocampus_CA1
AKR1B1,0.38624039756035,0.17264690896630477,0.0331811278140351,GSE278723_CA1,hippocampus_CA1
AKR7A2,0.531035179350336,0.14324315883856129,8.8695808055314e-4,GSE278723_CA1,hippocampus_CA1
AKR7A3,0.493748189251029,0.23927660162686554,0.0481785344230144,GSE278723_CA1,hippocampus_CA1
AKT1,0.690512615897146,0.17324950866003333,4.1980505142017e-4,GSE278723_CA1,hippocampus_CA1
AKT1S1,0.669005924609007,0.18529323910685397,0.00114658897557667,GSE278723_CA1,hippocampus_CA1
